Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ghana,GHA,,,190,200,210,230,250,240,220,220,250,270,260,280,320,300,290,300,350,380,420,410,360,320,340,350,390,420,440,400,400,410,430,420,370,370,380,390,390,390,340,300,270,320,380,460,600,790,1150,1190,1240,1380,1530,1850,1900,1940,1820,1890,2130,2220
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,390,410,420,460,490,500,500,510,510,470,450,400,360,350,340,370,360,400,470,620,670,690,680,700,700,740,760,780,820,850,930
"Gambia, The",GMB,,,,,,,,,110,110,110,110,120,150,180,230,230,240,260,310,380,390,340,300,290,300,300,320,300,300,310,400,520,710,690,690,700,690,660,640,620,560,440,390,470,520,640,700,810,880,890,760,760,730,650,620,620,660,720,750
Guinea-Bissau,GNB,,,,,,,,,,,,,120,130,150,170,150,140,160,180,150,190,200,190,190,200,160,170,180,210,220,240,240,230,220,220,240,240,160,160,210,250,300,330,380,430,440,470,510,560,580,640,630,640,640,640,650,680,750,820
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,130,130,130,150,170,210,250,230,260,270,380,370,270,250,360,870,700,820,770,900,1270,1190,1720,3890,8110,11600,14250,12530,9970,11540,13870,14030,13230,10850,8270,6510,6650,6460
Greece,GRC,,,620,700,790,900,1000,1090,1200,1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24550,26350,28660,29330,27380,24470,23190,22430,22010,20140,18550,17910,18970,19750
Grenada,GRD,,,,,,,,,,,,,,,,,,,,1150,1300,1310,1300,1280,1340,1500,1790,2200,2490,2670,2840,3040,3140,3120,3210,3310,3500,3660,3990,4310,4610,4510,4650,5290,5350,6650,6430,6830,7260,6720,6940,7060,7030,7350,7520,7780,8350,8890,9580,9840
Greenland,GRL,,,,,,,,,,,,,1890,2440,3130,3800,4330,5140,6160,7550,9270,9100,8020,7270,6740,7060,8540,11470,15170,16970,15690,16510,17440,16600,17830,19470,20780,20540,20440,19740,20290,19390,18760,20440,25730,30920,30240,34800,,,,,,,,,,,,
Guatemala,GTM,,,260,280,280,290,290,290,310,330,350,360,390,450,540,610,690,800,920,1080,1210,1240,1170,1110,1130,1160,1070,1020,980,980,930,970,1030,1140,1230,1360,1440,1530,1610,1650,1670,1610,1620,1700,1880,2030,2190,2410,2650,2700,2780,2950,3210,3410,3570,3700,3870,4090,4390,4610
Guam,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,,,280,250,280,310,320,340,330,350,360,380,390,430,540,680,660,610,620,670,760,740,590,510,470,500,520,460,470,360,400,330,390,460,570,670,830,890,880,860,890,880,890,940,1030,1090,1470,2280,3860,4180,4510,4820,5280,5540,5570,5470,5600,5910,6290,6630
High income,HIC,,,1509.784526,1600.806753,1721.087937,1865.301469,2032.057899,2159.994385,2366.81275,2572.733413,2724.761317,2974.659848,3408.500867,4172.284061,4882.041308,5454.537045,5791.700162,6208.443079,7076.20247,8471.764422,9784.063193,10184.00176,9692.207334,9309.384282,9665.072147,10113.08331,11383.71398,13635.97565,16588.88776,17480.07794,18282.03987,19012.28294,20658.46075,21138.86319,22198.28513,23648.95455,24783.87683,24892.35834,23987.07362,24297.0246,25307.09641,25300.63642,25145.53839,27094.22841,30909.70721,34055.32452,35759.56114,37188.02413,38789.71687,38132.59053,39164.26927,40491.63433,41841.18533,42655.63934,42849.65808,41650.77575,40745.88973,40978.96879,43809.2793,45348.44894
"Hong Kong SAR, China",HKG,,,,570,630,700,710,710,740,840,930,1060,1300,1750,2150,2450,2900,3340,3930,4700,5730,6360,6290,5890,6170,6090,7230,9080,10770,11550,12660,14320,16560,19560,21820,23570,24140,26080,25110,25800,26930,26350,25270,26340,28120,28890,30290,32070,33950,32350,33620,35690,36340,38570,40240,41180,42970,46390,50060,50800
Honduras,HND,,,180,180,190,210,220,230,250,250,260,270,280,320,360,380,410,460,610,830,1090,1090,1020,1000,1080,1160,1260,1410,1410,1270,1110,940,930,950,880,900,870,910,910,930,1020,1040,1070,1130,1210,1290,1360,1490,1620,1630,1720,1870,1970,2000,2000,2060,2120,2250,2320,2390
Heavily indebted poor countries (HIPC),HPC,,,,,,,,,,,,,,,,,248.3471526,262.2124399,289.9791138,332.6424402,369.6703466,391.05708,367.8677019,326.3659105,312.4418423,312.9102987,350.2619904,408.3236867,431.6586242,410.6615299,381.5647045,364.6568315,353.563555,338.6979202,306.8606037,312.1569044,319.3814827,328.06009,323.7637983,325.7066944,327.5271986,324.7469137,328.8498809,350.593645,401.8242672,453.3341391,496.8449573,562.5702038,659.8307273,719.2903614,765.3383001,794.1134555,845.4893823,898.201672,939.835942,940.1339568,916.1524291,907.8245097,942.0335589,969.2801919
Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5520,5430,5180,5210,5290,5600,6670,8520,10150,11310,12670,14250,14110,14090,14040,13440,13580,13260,12970,12380,12680,14080,14990
Haiti,HTI,,,,,,,,,,,,,,,,,,,,,250,250,250,240,260,280,320,340,380,370,420,450,390,310,260,310,360,390,400,450,550,640,730,670,660,700,780,890,990,1140,1120,1230,1300,1370,1410,1390,1330,1310,1360,1330
Hungary,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3660,4030,4250,4370,4400,4410,4490,4620,4790,5290,6630,8640,10360,11230,11750,13230,13380,13260,13250,13060,13500,13560,13250,13100,13190,15020,16500
IBRD only,IBD,,,,,,,197.7828615,197.1692931,201.8777056,219.1686909,236.4164225,250.1911338,269.8680186,325.7945072,399.7459146,465.7628451,477.6608596,497.7887527,541.2783356,624.7764252,718.0984934,772.6120453,759.9583988,708.7036341,702.9046807,721.1102819,762.4320814,821.5571543,866.7789947,877.0759881,923.7611009,992.5272464,1045.70846,1086.752089,1134.548709,1225.818865,1342.402415,1429.234412,1385.329291,1360.248598,1411.292566,1421.305954,1441.508103,1569.198466,1825.013781,2132.090957,2480.197266,2947.922896,3485.200538,3749.581603,4189.319746,4666.337513,5288.950766,5721.925782,5911.769354,5763.486528,5658.253797,5782.699275,6215.900111,6568.397919
IDA & IBRD total,IBT,,,,,,,182.0145447,181.8617166,186.5254228,202.4723529,219.27188,231.8683502,249.7149111,297.9611514,366.943771,428.1992778,442.5606443,460.8802976,499.662207,576.1326685,662.6529612,717.0638241,711.7756306,669.6923028,653.9920944,664.5273381,696.6164374,747.736211,786.5658875,788.4698102,823.3721431,875.1383433,916.8412809,943.1772912,975.6540671,1048.32937,1143.625277,1213.562038,1176.060201,1154.788738,1194.913001,1203.062175,1220.00007,1323.889675,1535.978799,1787.232625,2071.189527,2448.546124,2885.857118,3097.826877,3443.580315,3812.935675,4303.584444,4645.715363,4796.892004,4674.475121,4575.975553,4652.916982,4974.896559,5232.455153
IDA total,IDA,,,,,,,,,,123.0602018,138.4229165,145.5602806,154.8524186,165.5227553,211.1157654,250.4888898,276.65533,287.7689245,306.3518954,352.1823258,409.7685197,466.9149865,498.0552166,499.9628787,441.3630453,420.2402171,414.4990214,433.9663304,448.6311841,418.6723104,407.7103596,396.9078855,396.3636709,368.0365092,345.0223927,351.9829776,372.8628817,387.0637261,384.0943349,387.0606621,396.4291194,408.5493185,424.6317874,454.3418401,524.7971036,596.1891918,676.9409222,768.1220632,895.6763003,962.574029,1030.943963,1084.260361,1190.946621,1288.693302,1364.801661,1366.308679,1330.888544,1308.512169,1350.17602,1385.448111
IDA blend,IDB,,,104.7592061,111.7472966,115.9092028,122.3644847,127.4069009,126.7401908,134.2551203,151.0841407,180.2156813,190.5536378,201.5604588,208.3728952,268.2058977,307.0594959,358.7924342,387.9578047,414.5165216,479.0057652,562.3503119,678.1747098,787.0701613,839.2522939,702.6605714,638.7809702,581.9374169,568.9887698,581.587495,533.6216527,523.8862261,506.8333242,510.6701924,456.1876272,437.1856205,444.9176356,481.7200909,499.6523428,487.4146911,490.8498286,502.7258128,527.6011619,561.1459518,605.2814065,714.8502631,824.1903897,980.1085393,1123.789856,1314.202666,1379.808636,1453.001078,1525.008829,1703.742381,1858.324346,1992.477954,1964.858688,1844.031251,1738.435314,1733.886888,1729.453493
Indonesia,IDN,,,,,,,,,,70,80,80,90,110,160,220,270,300,360,400,470,530,560,530,520,500,520,510,510,530,560,610,660,740,850,990,1090,1100,660,570,580,720,790,900,1080,1220,1380,1600,1940,2150,2530,3010,3580,3730,3620,3430,3400,3530,3850,4050
IDA only,IDX,,,,,,,,,,,,,,,,,,,,,,,,309.4053624,296.0603164,299.6660135,324.4658212,363.5941409,379.6040474,359.525091,347.4596566,340.106583,337.0517348,323.7246518,297.9879693,304.6367259,316.9882477,329.2359568,331.2470495,333.9559257,342.043204,347.3469832,354.1205214,376.4270055,426.6125293,478.4016541,520.0887229,583.969727,678.564195,747.3509266,813.6403947,857.8276939,925.9833334,993.3083714,1037.946496,1055.106331,1066.468967,1090.055899,1158.185882,1216.950553
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17050,18800,21310,21880,22480,23780,27780,34170,39590,44420,47220,62280,64940,71570,74390,82210,87850,89000,83990,78870,77900,83160,
India,IND,,,90,100,110,110,110,110,100,110,120,120,120,140,170,190,180,190,210,220,270,290,290,280,280,290,310,350,390,390,380,350,340,320,340,370,400,410,410,440,440,450,460,520,610,710,790,910,1000,1120,1220,1360,1480,1520,1560,1600,1680,1830,2010,2120
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,,,,,,,,,,,,,2070,2540,2990,3390,3280,3580,4120,5120,6380,6780,6390,5720,5610,5630,6370,8220,10420,11100,12560,13130,14440,14600,15480,16920,18880,20660,21440,22650,24080,24020,24830,29890,37690,44530,47910,50530,50920,46810,44880,41900,40590,43480,46320,50350,52490,53480,59640,64100
"Iran, Islamic Rep.",IRN,,,,,,,,,,,,,,,,,,,1980,2310,2100,2400,3190,3300,3110,3490,3690,3570,3030,2590,2550,,,,,1310,1580,1780,1800,1720,1760,1790,1880,2200,2520,2960,3480,4270,4970,5560,6250,6870,7130,6990,6500,5370,5500,5420,5300,
Iraq,IRQ,,,,,,,,,,,,,,,,,,,,,3930,3460,3050,2360,2540,2750,3050,3530,3720,3720,7050,,,,,,,,,,,,,,,,1900,2430,3540,4160,4580,4960,6300,7040,6830,5930,5620,4880,5060,5740
Iceland,ISL,,,1540,1740,2050,2440,2980,3110,2790,2490,2610,3050,3740,4960,6690,7490,7970,9010,10860,13180,15440,16240,15100,12580,11900,11930,14250,19100,23470,24210,24810,25260,26510,26100,25660,25490,27320,28480,29280,30400,31550,30710,30930,33720,42030,50700,53610,61930,50100,41850,36250,37590,40680,46960,48230,50160,55150,60530,67890,73000
Israel,ISR,,,1320,1330,1310,1440,1470,1480,1730,1910,1980,2260,2770,3180,4270,4880,4760,4620,4830,5630,6090,6750,6620,6620,6550,6530,7110,8510,10450,10960,12170,12920,14440,14820,15720,17550,18610,18920,18760,18440,19200,19260,18600,18680,19930,21430,22320,23960,26150,27260,29660,31450,32220,34320,36020,36070,36330,37550,40860,43100
Italy,ITA,,,960,1060,1160,1280,1410,1550,1700,1850,2060,2250,2620,3250,3930,4320,4510,4730,5270,6740,8430,8710,8220,7630,7760,8030,9380,12160,15950,17300,18660,20370,22960,21590,20860,20670,21830,22300,22220,21990,21890,21170,20710,23350,28270,32430,34250,35900,37910,37870,37850,37900,36200,35550,34890,32980,31950,31360,33840,34530
Jamaica,JAM,,,,,,,,,620,650,720,760,980,1020,1180,1370,1370,1450,1430,1300,1210,1290,1340,1330,1130,930,950,1170,1480,1690,1770,1740,1600,1830,1870,2280,2510,2750,2880,3110,3230,3230,3250,3440,3650,3800,4090,4320,4570,4330,4390,4590,4980,5010,4910,4700,4600,4750,5010,5320
Jordan,JOR,,,,,,,,,,,,,,,,,,,1160,1540,1810,2040,1980,1750,1730,1670,1870,2100,2160,1560,1270,1090,1240,1280,1340,1420,1430,1450,1480,1530,1670,1740,1780,1900,2160,2340,2510,2730,3110,3380,3520,3620,3720,3830,3920,3950,4000,4080,4270,4410
Japan,JPN,,,610,690,800,890,1030,1200,1430,1660,1830,2120,2720,3640,4430,5150,5410,5950,7450,9450,10860,11120,10550,10270,10520,11480,13850,18180,24910,27000,27810,28590,30590,33430,36980,42110,43150,40040,34450,33780,36230,36770,34790,35070,38350,40560,39930,38740,38850,38800,43440,46880,49480,48280,43950,38840,37860,38490,41150,41710
Kazakhstan,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,1310,1280,1340,1390,1390,1290,1270,1360,1530,1810,2300,2930,3860,4980,6110,6790,7440,8280,9940,11840,12080,11380,8770,8040,8070,8820
Kenya,KEN,,,100,100,110,100,120,120,130,140,130,160,190,200,230,250,250,280,320,390,450,450,390,340,310,310,340,370,410,400,370,350,330,270,260,270,340,390,430,430,410,400,380,400,450,510,580,700,820,900,960,990,1050,1130,1240,1290,1350,1420,1600,1750
Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,450,370,360,390,390,360,300,280,280,290,340,400,450,500,610,760,860,850,880,1040,1190,1250,1180,1110,1110,1220,1240
Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,320,320,290,300,300,310,320,350,400,460,520,590,670,700,750,810,880,970,1020,1060,1140,1230,1380,1530
Kiribati,KIR,,,,,,,,,,,,,,,,,,,870,860,690,660,790,780,590,540,520,550,640,670,720,960,1030,1020,1050,1150,1090,1340,1470,1300,1330,1340,1250,1310,1480,1700,1710,1820,1930,1900,2050,2090,2620,2980,3220,3470,2920,3020,3080,3350
St. Kitts and Nevis,KNA,,,,,,,,,,,,,,,,,,,,1370,1670,1850,1940,2010,2240,2510,3070,3690,4390,4660,5220,5260,5710,6190,6710,7310,7690,8080,7830,8280,9120,9440,9370,9270,10390,11640,12440,13050,14850,14620,14690,15450,15470,16610,16490,16410,17080,17240,18520,19290
"Korea, Rep.",KOR,,,120,120,130,130,140,150,190,240,280,310,340,430,550,660,810,970,1280,1680,1870,2030,2050,2170,2340,2480,2850,3530,4520,5380,6450,7570,8310,9010,10090,11820,13320,13550,10330,10430,11030,11950,12850,13790,16200,18520,20800,23440,23860,22040,22290,23590,25660,26980,28160,28720,29330,30300,32730,33790
Kuwait,KWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20520,20870,21480,19680,16870,17980,18660,18930,22600,28510,35220,42300,47580,51710,45000,42490,43790,49690,53060,51000,41820,35330,31400,33590,
Latin America & Caribbean (excluding high income),LAC,,,,,,,465.0437427,476.9040559,513.4810126,546.3910166,579.1915184,632.536642,698.6350854,858.3878462,1092.445726,1287.647863,1363.648964,1405.405906,1525.46477,1787.15774,2092.03542,2241.269951,2130.517139,1881.298473,1794.572055,1764.948281,1835.69482,1962.324066,2080.738677,2183.187953,2285.105519,2647.433115,2925.481051,3149.890427,3378.523858,3591.124311,3883.577171,4159.933004,4137.024718,3929.109166,4022.563337,3908.267648,3656.172357,3640.528661,3933.714845,4406.290595,5088.204495,5952.909587,6879.200272,7055.755577,7842.920907,8648.405863,9525.81421,9904.708122,9792.832595,8952.615409,8210.483384,8072.037525,8323.43979,8372.836454
Lao PDR,LAO,,,,,,,,,,,,,,,,,,,,,,,,,,,550,430,250,210,190,210,250,280,310,350,380,370,310,290,280,310,320,340,390,460,510,620,750,890,1000,1140,1370,1610,1820,1970,2120,2240,2450,2570
Lebanon,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310,1700,1920,2220,2610,3160,3720,4000,4250,4490,4600,4460,4200,3790,4730,4890,4860,5410,6060,6870,7470,7560,7560,7640,7550,7280,7230,7470,7720,7380
Liberia,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,180,210,250,290,330,390,430,460,520,560,630,630,630,620,620,610,580
Libya,LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5170,5160,5140,6860,8600,10400,12200,12090,12380,4690,11550,10750,7610,5690,4550,5410,6800,7640
St. Lucia,LCA,,,,,,,,,,,,,,,,,,,,,,,1530,1510,1660,1940,2500,2830,3330,3570,3730,3850,4400,4410,4510,4660,4850,4760,4930,5150,5250,4990,5010,5370,6000,6230,7260,7500,8090,8020,8170,8820,8860,8790,8840,8730,9440,10070,10640,11020
Latin America & Caribbean,LCN,,,,,,,489.8327738,501.4311909,537.5893511,572.7183542,609.0743363,667.7227295,735.492701,899.1600842,1135.919653,1309.055117,1374.91962,1417.315215,1547.510172,1820.280046,2140.297797,2307.932476,2186.216325,1924.166954,1834.171714,1803.509897,1876.148708,2011.169686,2135.367303,2241.52689,2342.483062,2698.918507,2988.886967,3217.739419,3450.804675,3681.852505,3987.153039,4273.008731,4253.72098,4056.75239,4152.768489,4036.582093,3784.549401,3774.156333,4093.777223,4584.407687,5278.569796,6158.718019,7100.019386,7269.077844,8053.153664,8881.602384,9795.471695,10201.69584,10093.76062,9281.504605,8552.555361,8426.151291,8720.459314,8794.06169
Least developed countries: UN classification,LDC,,,,,,,,,,,,,,,,,,,,,,,,,,237.4120145,267.4142897,310.566333,328.5560506,331.3010452,319.1213841,315.3863257,289.3696202,276.0479998,251.7118834,263.5912824,274.9734782,288.6020422,288.1399637,290.2459259,300.716906,306.1687306,317.4125857,339.1515312,389.1246974,442.1944432,489.1201273,560.2796787,652.2993729,719.7880437,784.0810923,827.6960682,905.9365506,974.2030731,1018.626616,1014.869846,1002.877901,1008.416551,1055.640184,1099.365828
Low income,LIC,,,,,,,,,,,,,,,,,,,,,,,,,314.9892094,321.4878022,347.1157678,392.8215681,405.5092124,374.6869113,349.1068582,338.4016077,322.8847749,300.1589365,262.6079411,262.4922745,263.7121534,269.8232343,267.6792255,264.5304902,272.9733946,284.3783403,298.8734395,312.3170322,354.7766948,399.9193371,442.7651258,510.464865,593.7684955,659.0595244,716.2302425,724.1971789,768.4168054,818.3651649,856.2969154,846.3705591,826.7523485,801.7260752,800.0111151,819.7214785
Liechtenstein,LIE,,,,,,,,,,,,,5120,6500,8210,10150,11190,12370,14760,18510,22610,22610,20320,18770,19010,19730,22860,31170,41500,43620,45480,47580,54350,56710,61990,70060,78590,80150,77640,78650,78870,68240,65060,68450,78680,92730,104070,112190,121890,116430,,,,,,,,,,
Sri Lanka,LKA,,,,130,130,130,150,170,160,170,170,170,180,210,250,270,260,260,240,260,280,300,310,310,330,370,410,430,460,440,460,490,550,600,640,690,740,800,820,840,870,830,840,940,1060,1210,1360,1550,1790,2010,2410,2850,3360,3490,3640,3760,3810,3870,4040,4020
Lower middle income,LMC,,,,112.4201924,121.8985577,127.8422853,125.494173,127.2674845,127.3772375,137.4354596,147.9842355,153.7122749,163.2005774,185.6945027,223.9534453,258.8757888,268.025036,278.735935,306.1196135,346.6191887,412.235178,457.6094798,468.9880424,464.1463797,439.3055396,437.1551254,452.3407749,491.746961,526.7370907,513.2242403,501.8734762,472.583449,469.0716984,443.8520438,447.9638258,472.2079484,511.1979295,529.7019255,531.5746767,546.0864029,555.136813,566.5935041,574.3932745,628.537849,727.8815839,830.3068703,936.6226632,1082.367851,1232.648159,1332.081563,1444.146449,1568.067676,1728.574385,1835.430221,1906.249025,1910.67176,1922.691093,1965.659539,2091.597256,2176.195334
Low & middle income,LMY,,,,,,,177.679778,177.5418039,182.1089479,197.8092119,214.1464891,225.8267742,243.1870543,290.2814533,357.3720719,420.5197726,435.4601482,453.4281594,490.4126256,563.8854605,646.1566461,697.5647509,693.9020502,654.802098,640.8894876,651.8026747,683.3340055,732.6584484,770.6352008,771.3082086,804.0813362,852.3697096,889.901528,911.3158212,940.625075,1007.325161,1095.819476,1160.989903,1122.325738,1102.30661,1141.776069,1151.376709,1168.135622,1267.992088,1471.250351,1710.050291,1981.511829,2342.156718,2756.002708,2966.510948,3314.414242,3682.403453,4170.116757,4509.379405,4661.611739,4544.113505,4453.375475,4530.391767,4838.901645,5087.613755
Lesotho,LSO,,,,,,,80,80,80,80,90,90,100,150,220,230,280,310,340,400,440,510,610,540,490,410,390,420,500,520,550,580,650,660,680,690,700,690,620,610,580,640,590,670,810,1020,1130,1300,1310,1230,1300,1440,1610,1560,1450,1340,1300,1240,1280,1380
Late-demographic dividend,LTE,,,,,,,193.3758552,189.6333632,194.3642534,215.7530517,239.9869321,255.9360457,280.6961963,342.2547328,410.174968,468.0653174,476.5512044,510.4015294,557.3249774,642.2096406,723.1161592,738.0488314,716.4294587,666.5781374,681.8582393,710.5903401,774.7340102,846.5084899,922.2952843,994.4716798,1018.969291,1139.00246,1156.878999,1179.886927,1218.30945,1380.275167,1566.914412,1704.326314,1652.073202,1588.876859,1634.370916,1645.344086,1722.328646,1917.842386,2276.746821,2690.502888,3190.846342,3877.23743,4701.817391,5132.139517,5771.731762,6501.026294,7470.620906,8273.257577,8682.527841,8514.095946,8358.819758,8561.466601,9341.124022,10010.86742
Lithuania,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2860,2980,3210,3450,3820,4700,6020,7580,8820,10610,12680,12460,12570,13320,14110,15340,16070,15190,14890,15280,17460,19030
Luxembourg,LUX,,,1630,1680,1870,1920,2020,2070,2240,2560,3030,3350,4070,5230,6890,7930,8510,9080,10650,12940,15480,15490,14930,13490,13060,13130,15610,20090,26020,28700,31500,35370,39210,40270,41570,46020,48610,50650,47100,46470,46460,45630,42630,46000,62800,73810,71580,86210,88000,71220,78220,76260,75450,75500,76470,72470,68670,66430,70910,73900
Latvia,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2720,2860,2980,3320,3600,3930,4670,5830,7380,8910,11210,13490,14080,12620,13210,13930,15010,15330,15100,14780,14850,16540,17730
"Macao SAR, China",MAC,,,,,,,,,,,,,,,,,,,,,,,,,4770,4600,5220,6510,7490,8080,8970,9990,12570,14300,16030,17430,17500,17330,15700,14650,14710,15750,16330,17870,22250,24020,26320,34580,34360,36530,45580,54870,61240,70560,74210,64350,65980,72310,78640,
St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,,,,,,,,,220,240,250,270,290,350,440,540,580,600,650,780,980,960,940,790,730,680,770,860,1080,1110,1160,1240,1270,1230,1350,1300,1510,1460,1460,1410,1390,1400,1370,1540,1830,2070,2240,2380,2700,2880,2930,3000,2980,3090,3060,3020,2880,2880,3090,3190
Monaco,MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,580,510,490,500,590,710,910,1120,1280,1440,1870,1950,2380,2730,3140,3620,3740,3300,3180,3330,3920,4580
Madagascar,MDG,,,130,130,140,140,150,160,170,170,180,180,190,210,260,310,300,310,310,390,500,510,520,480,430,400,400,370,340,300,310,280,290,290,290,280,300,300,300,280,290,300,280,340,340,340,330,380,450,470,470,480,500,520,520,490,470,470,500,520
Maldives,MDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760,1860,1980,2070,2240,2620,3400,3770,3460,4540,4480,5410,5460,5960,6600,6630,6800,7320,7650,8070,8600,9210,9680
Middle East & North Africa,MEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2474.056154,2654.08815,2773.562618,2784.083276,2737.134741,2872.438205,2961.672512,2944.781367,3197.46168,3638.410426,4151.052695,4736.021488,5444.339735,6341.223656,6539.043841,6965.301115,7361.787559,8282.792699,8773.052618,8758.862513,8089.565351,7710.762982,7292.06135,7564.573148,7880.044633
Mexico,MEX,,,360,390,440,480,510,560,610,640,680,730,820,990,1210,1460,1540,1480,1590,1890,2560,3270,3000,2400,2200,2270,2080,2040,2090,2370,2790,3250,3770,4490,5310,4790,4620,4660,5000,5510,6210,6740,7100,7360,7820,8050,8690,9250,9780,8820,9040,9310,10050,10270,10500,10160,9390,8920,9180,9480
Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3070,2690,2590,2690,2830,2960,3110,3100,3130,3300,3460,3380,3510,3390,3480,3600,3600,3510,3900,4070,4310,4280,4460,4860,
Middle income,MIC,,,,,,,184.3366298,184.0181675,188.7266259,205.0652673,222.2619032,234.3419584,252.2623649,301.6733913,371.0927759,436.005217,451.0025342,469.7196212,508.3101216,584.8998761,670.3839988,724.1782951,720.9249097,680.610063,666.9707694,678.4173878,710.8240657,761.1212394,801.2560638,804.1400597,841.1281543,894.1627846,935.8502722,960.9619357,995.6996107,1068.471698,1164.788029,1235.679759,1194.935151,1174.45676,1217.661156,1228.363925,1246.677359,1355.619094,1575.239625,1833.967828,2129.250158,2520.832016,2970.366741,3199.648548,3580.603764,3988.284359,4525.818063,4900.522011,5070.835277,4947.79628,4855.112466,4948.706686,5297.758693,5579.886536
North Macedonia,MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1460,1400,1790,2190,2210,2010,1910,1910,1820,1820,2090,2560,2990,3310,3580,4330,4610,4700,4810,4740,5000,5200,5110,4980,4920,5480,5840
Mali,MLI,,,,,,,,,,60,60,70,80,90,100,120,140,160,170,220,250,240,200,170,160,180,200,240,290,290,290,320,330,320,280,270,270,280,280,290,280,300,290,350,400,460,500,530,610,660,690,730,730,780,810,800,780,770,830,870
Malta,MLT,,,,,,,,,,,,,1090,1260,1560,1990,2120,2320,2660,3300,4280,4670,4550,3940,3830,3690,4000,4930,6260,6910,7600,7940,8720,8570,8600,9250,10010,10530,10260,10710,10600,10570,10710,12170,14100,15660,16350,17580,20410,20310,21370,22120,22160,23370,24560,25230,23510,24010,26900,27950
Myanmar,MMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,180,220,270,290,350,470,640,850,1010,1130,1220,1230,1260,1280,1290,1370,1390
Middle East & North Africa (excluding high income),MNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1241.489639,1377.808481,1466.5126,1509.82926,1514.763472,1568.069063,1598.318569,1596.52825,1707.502482,1894.262401,2152.501225,2428.957046,2842.300887,3358.746663,3678.52519,3996.284261,4095.658351,4581.08692,4744.646415,4622.135201,4176.046332,4113.925611,3876.658076,3859.908736,
Montenegro,MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970,2440,3100,3660,4320,5120,6470,6740,6920,7260,7000,7330,7320,7250,7090,7400,8430,9060
Mongolia,MNG,,,,,,,,,,,,,,,,,,,,,,,,1440,1320,1230,1350,1520,1690,1590,1430,1200,810,510,430,460,550,580,520,480,470,480,530,610,760,900,1120,1410,1800,1790,2000,2590,3650,4330,4210,3820,3500,3230,3630,3790
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
